School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference
Cleveland State University,Cleveland State,Vikings,Cleveland,OH,Public,Non-football,Horizon League
Coastal Carolina University,Coastal Carolina,Chanticleers,Conway,SC,Public,FBS,Sun Belt Conference
Colgate University,Colgate,Raiders,Hamilton,NY,Private,FCS,Patriot League
College of Charleston,Charleston,Cougars,Charleston,SC,Public,Non-football,Coastal Athletic Association
College of the Holy Cross,Holy Cross,Crusaders,Worcester,MA,Private,FCS,Patriot League
Colorado State University,Colorado State,Rams,Fort Collins,CO,Public,FBS,Mountain West Conference
Columbia University in the City of New York,Columbia,Lions,New York,NY,Private,FCS,Ivy League
Coppin State University,Coppin State,Eagles,Baltimore,MD,Public,Non-football,Mid-Eastern Athletic Conference
Cornell University,Cornell,Big Red,Ithaca,NY,Private,FCS,Ivy League
Creighton University,Creighton,Bluejays,Omaha,NE,Private,Non-football,Big East Conference
Dartmouth College,Dartmouth,Big Green,Hanover,NH,Private,FCS,Ivy League
Davidson College,Davidson,Wildcats,Davidson,NC,Private,FCS,Atlantic 10 Conference
Delaware State University,Delaware State,Hornets,Dover,DE,Public,FCS,Mid-Eastern Athletic Conference
DePaul University,DePaul,Blue Demons,Chicago,IL,Private,Non-football,Big East Conference
Drake University,Drake,Bulldogs,Des Moines,IA,Private,FCS,Missouri Valley Conference
Drexel University,Drexel,Dragons,Philadelphia,PA,Private,Non-football,Coastal Athletic Association
Duke University,Duke,Blue Devils,Durham,NC,Private,FBS,Atlantic Coast Conference
Duquesne University of the Holy Spirit,Duquesne,Dukes,Pittsburgh,PA,Private,FCS,Atlantic 10 Conference
East Carolina University,East Carolina,Pirates,Greenville,NC,Public,FBS,American Athletic Conference
Eastern Illinois University,Eastern Illinois,Panthers,Charleston,IL,Public,FCS,Ohio Valley Conference
Eastern Kentucky University,Eastern Kentucky,Colonels,Richmond,KY,Public,FCS,ASUN Conference
Eastern Michigan University,Eastern Michigan,Eagles,Ypsilanti,MI,Public,FBS,Mid-American Conference
Eastern Washington University,Eastern Washington,Eagles,Cheney,WA,Public,FCS,Big Sky Conference
East Tennessee State University,East Tennessee State,Buccaneers,Johnson City,TN,Public,FCS,Southern Conference
Elon University,Elon,Phoenix,Elon,NC,Private,FCS,Coastal Athletic Association
Fairfield University,Fairfield,Stags,Fairfield,CT,Private,Non-football,Metro Atlantic Athletic Conference
Fairleigh Dickinson University,Fairleigh Dickinson,Knights,Hackensack,NJ,Private,Non-football,Northeast Conference
Florida Agricultural and Mechanical University,Florida A&M,Rattlers,Tallahassee,FL,Public,FCS,Southwestern Athletic Conference
Florida Atlantic University,Florida Atlantic,Owls,Boca Raton,FL,Public,FBS,American Athletic Conference
Florida Gulf Coast University,FGCU,Eagles,Fort Myers,FL,Public,Non-football,ASUN Conference
Florida International University,FIU,Panthers,Miami,FL,Public,FBS,Conference USA
Florida State University,Florida State,Seminoles,Tallahassee,FL,Public,FBS,Atlantic Coast Conference
Fordham University,Fordham,Rams,Bronx,NY,Private,FCS,Atlantic 10 Conference
Furman University,Furman,Paladins,Greenville,SC,Private,FCS,Southern Conference
Gardner–Webb University,Gardner–Webb,Runnin' Bulldogs,Boiling Springs,NC,Private,FCS,Big South Conference
George Mason University,George Mason,Patriots,Fairfax,VA,Public,Non-football,Atlantic 10 Conference
Georgetown University,Georgetown,Hoyas,Washington,DC,Private,FCS,Big East Conference
Georgia Institute of Technology,Georgia Tech,Yellow Jackets,Atlanta,GA,Public,FBS,Atlantic Coast Conference
Georgia Southern University,Georgia Southern,Eagles,Statesboro,GA,Public,FBS,Sun Belt Conference
Georgia State University,Georgia State,Panthers,Atlanta,GA,Public,FBS,Sun Belt Conference
Gonzaga University,Gonzaga,Bulldogs,Spokane,WA,Private,Non-football,West Coast Conference
Grambling State University,Grambling State,Tigers,Grambling,LA,Public,FCS,Southwestern Athletic Conference
Grand Canyon University,Grand Canyon,Antelopes,Phoenix,AZ,Private,Non-football,Western Athletic Conference
Hampton University,Hampton,Pirates,Hampton,VA,Private,FCS,Coastal Athletic Association
Harvard University,Harvard,Crimson,Cambridge,MA,Private,FCS,Ivy League
High Point University,High Point,Panthers,High Point,NC,Private,Non-football,Big South Conference
Hofstra University,Hofstra,Pride,Hempstead,NY,Private,Non-football,Coastal Athletic Association
Houston Christian University,Houston Christian,Huskies,Houston,TX,Private,FCS,Southland Conference
Howard University,Howard,Bison,Washington,DC,Private,FCS,Mid-Eastern Athletic Conference
Idaho State University,Idaho State,Bengals,Pocatello,ID,Public,FCS,Big Sky Conference
Illinois State University,Illinois State,Redbirds,Normal,IL,Public,FCS,Missouri Valley Conference
Indiana State University,Indiana State,Sycamores,Terre Haute,IN,Public,FCS,Missouri Valley Conference
Indiana University Bloomington,Indiana,Hoosiers,Bloomington,IN,Public,FBS,Big Ten Conference
Indiana University–Purdue University Indianapolis,IUPUI,Jaguars,Indianapolis,IN,Public,Non-football,Horizon League
Iona University,Iona,Gaels,New Rochelle,NY,Private,Non-football,Metro Atlantic Athletic Conference
Iowa State University of Science and Technology,Iowa State,Cyclones,Ames,IA,Public,FBS,Big 12 Conference
Jackson State University,Jackson State,Tigers,Jackson,MS,Public,FCS,Southwestern Athletic Conference
Jacksonville State University,Jacksonville State,Gamecocks,Jacksonville,AL,Public,FBS,Conference USA
Jacksonville University,Jacksonville,Dolphins,Jacksonville,FL,Private,Non-football,ASUN Conference
James Madison University,James Madison,Dukes,Harrisonburg,VA,Public,FBS,Sun Belt Conference
Kansas State University,Kansas State,Wildcats,Manhattan,KS,Public,FBS,Big 12 Conference
Kennesaw State University,Kennesaw State,Owls,Kennesaw,GA,Public,FCS,ASUN Conference
Kent State University,Kent State,Golden Flashes,Kent,OH,Public,FBS,Mid-American Conference
Lafayette College,Lafayette,Leopards,Easton,PA,Private,FCS,Patriot League
Lamar University,Lamar,Cardinals,Beaumont,TX,Public,FCS,Southland Conference
La Salle University,La Salle,Explorers,Philadelphia,PA,Private,Non-football,Atlantic 10 Conference
Lehigh University,Lehigh,Mountain Hawks,Bethlehem,PA,Private,FCS,Patriot League
Stanford University,Stanford,Cardinal,Stanford,CA,Private,FBS,Pac-12 Conference
Liberty University,Liberty,Flames,Lynchburg,VA,Private,FBS,Conference USA
Lipscomb University,Lipscomb,Bisons,Nashville,TN,Private,Non-football,ASUN Conference
Long Island University,LIU,Sharks,Brooklyn & Brookville,NY,Private,FCS,Northeast Conference
Longwood University,Longwood,Lancers,Farmville,VA,Public,Non-football,Big South Conference
Louisiana State University and Agricultural and Mechanical College,LSU,Tigers,Baton Rouge,LA,Public,FBS,Southeastern Conference
Louisiana Tech University,Louisiana Tech,Bulldogs,Ruston,LA,Public,FBS,Conference USA
Loyola Marymount University,Loyola Marymount,Lions,Los Angeles,CA,Private,Non-football,West Coast Conference
Loyola University Chicago,Loyola Chicago,Ramblers,Chicago,IL,Private,Non-football,Atlantic 10 Conference
Loyola University Maryland,Loyola,Greyhounds,Baltimore,MD,Private,Non-football,Patriot League
Manhattan College,Manhattan,Jaspers,Riverdale,NY,Private,Non-football,Metro Atlantic Athletic Conference
Marist College,Marist,Red Foxes,Poughkeepsie,NY,Private,FCS,Metro Atlantic Athletic Conference
Marquette University,Marquette,Golden Eagles,Milwaukee,WI,Private,Non-football,Big East Conference
Marshall University,Marshall,Thundering Herd,Huntington,WV,Public,FBS,Sun Belt Conference
McNeese State University,McNeese,Cowboys,Lake Charles,LA,Public,FCS,Southland Conference
Mercer University,Mercer,Bears,Macon,GA,Private,FCS,Southern Conference
Merrimack College,Merrimack,Warriors,North Andover,MA,Private,FCS,Northeast Conference
Miami University,Miami (Ohio),RedHawks,Oxford,OH,Public,FBS,Mid-American Conference
Michigan State University,Michigan State,Spartans,East Lansing,MI,Public,FBS,Big Ten Conference
Middle Tennessee State University,Middle Tennessee,Blue Raiders,Murfreesboro,TN,Public,FBS,Conference USA
Mississippi State University for Agriculture and Applied Science,Mississippi State,Bulldogs,Mississippi State,MS,Public,FBS,Southeastern Conference
Mississippi Valley State University,Mississippi Valley State,Delta Devils,Itta Bena,MS,Public,FCS,Southwestern Athletic Conference
Missouri State University,Missouri State,Bears,Springfield,MO,Public,FCS,Missouri Valley Conference
Monmouth University,Monmouth,Hawks,West Long Branch,NJ,Private,FCS,Coastal Athletic Association
Montana State University,Montana State,Bobcats,Bozeman,MT,Public,FCS,Big Sky Conference
Morehead State University,Morehead State,Eagles,Morehead,KY,Public,FCS,Ohio Valley Conference
Morgan State University,Morgan State,Bears,Baltimore,MD,Public,FCS,Mid-Eastern Athletic Conference
Mount Saint Mary's University,Mount St. Mary's,Mountaineers,Emmitsburg,MD,Private,Non-football,Metro Atlantic Athletic Conference
Murray State University,Murray State,Racers,Murray,KY,Public,FCS,Missouri Valley Conference
New Jersey Institute of Technology,NJIT,Highlanders,Newark,NJ,Public,Non-football,America East Conference
New Mexico State University,New Mexico State,Aggies,Las Cruces,NM,Public,FBS,Conference USA
Niagara University,Niagara,Purple Eagles,Niagara University,NY,Private,Non-football,Metro Atlantic Athletic Conference
Nicholls State University,Nicholls,Colonels,Thibodaux,LA,Public,FCS,Southland Conference
Norfolk State University,Norfolk State,Spartans,Norfolk,VA,Public,FCS,Mid-Eastern Athletic Conference
North Carolina Agricultural and Technical State University,North Carolina A&T,Aggies,Greensboro,NC,Public,FCS,Coastal Athletic Association
North Carolina Central University,North Carolina Central,Eagles,Durham,NC,Public,FCS,Mid-Eastern Athletic Conference
North Carolina State University,NC State,Wolfpack,Raleigh,NC,Public,FBS,Atlantic Coast Conference
North Dakota State University of Agriculture and Applied Sciences,North Dakota State,Bison,Fargo,ND,Public,FCS,Summit League
Northeastern University,Northeastern,Huskies,Boston,MA,Private,Non-football,Coastal Athletic Association
Northern Arizona University,Northern Arizona,Lumberjacks,Flagstaff,AZ,Public,FCS,Big Sky Conference
Northern Illinois University,Northern Illinois,Huskies,DeKalb,IL,Public,FBS,Mid-American Conference
Northern Kentucky University,Northern Kentucky,Norse,Highland Heights,KY,Public,Non-football,Horizon League
Northwestern State University of Louisiana,Northwestern State,Demons,Natchitoches,LA,Public,FCS,Southland Conference
Northwestern University,Northwestern,Wildcats,Evanston,IL,Private,FBS,Big Ten Conference
Oakland University,Oakland,Golden Grizzlies,Rochester,MI,Public,Non-football,Horizon League
Oklahoma State University–Stillwater,Oklahoma State,Cowboys,Stillwater,OK,Public,FBS,Big 12 Conference
Old Dominion University,Old Dominion,Monarchs,Norfolk,VA,Public,FBS,Sun Belt Conference
Oral Roberts University,Oral Roberts,Golden Eagles,Tulsa,OK,Private,Non-football,Summit League
Oregon State University,Oregon State,Beavers,Corvallis,OR,Public,FBS,Pac-12 Conference
Pepperdine University,Pepperdine,Waves,Malibu,CA,Private,Non-football,West Coast Conference
Portland State University,Portland State,Vikings,Portland,OR,Public,FCS,Big Sky Conference
Prairie View A&M University,Prairie View A&M,Panthers,Prairie View,TX,Public,FCS,Southwestern Athletic Conference
Presbyterian College,Presbyterian,Blue Hose,Clinton,SC,Private,FCS,Big South Conference
Princeton University,Princeton,Tigers,Princeton,NJ,Private,FCS,Ivy League
Providence College,Providence,Friars,Providence,RI,Private,Non-football,Big East Conference
Purdue University,Purdue,Boilermakers,West Lafayette,IN,Public,FBS,Big Ten Conference
Purdue University Fort Wayne,Purdue Fort Wayne,Mastodons,Fort Wayne,IN,Public,Non-football,Horizon League
Quinnipiac University,Quinnipiac,Bobcats,Hamden,CT,Private,Non-football,Metro Atlantic Athletic Conference
Radford University,Radford,Highlanders,Radford,VA,Public,Non-football,Big South Conference
Rider University,Rider,Broncs,Lawrenceville,NJ,Private,Non-football,Metro Atlantic Athletic Conference
Robert Morris University,Robert Morris,Colonials,Moon,PA,Private,FCS,Horizon League
Rutgers University–New Brunswick,Rutgers,Scarlet Knights,New Brunswick,NJ,Public,FBS,Big Ten Conference
Sacred Heart University,Sacred Heart,Pioneers,Fairfield,CT,Private,FCS,Northeast Conference
Saint Bonaventure University,St. Bonaventure,Bonnies,Saint Bonaventure,NY,Private,Non-football,Atlantic 10 Conference
Saint Francis University,Saint Francis (PA),Red Flash,Loretto,PA,Private,FCS,Northeast Conference
Saint John's University,St. John's,Red Storm,Queens,NY,Private,Non-football,Big East Conference
Saint Joseph's University,Saint Joseph's,Hawks,Philadelphia,PA,Private,Non-football,Atlantic 10 Conference
Saint Louis University,Saint Louis,Billikens,Saint Louis,MO,Private,Non-football,Atlantic 10 Conference
Saint Mary's College of California,Saint Mary's,Gaels,Moraga,CA,Private,Non-football,West Coast Conference
Saint Peter's University,Saint Peter's,Peacocks,Jersey City,NJ,Private,Non-football,Metro Atlantic Athletic Conference
Sam Houston State University,Sam Houston,Bearkats,Huntsville,TX,Public,FBS,Conference USA
Samford University,Samford,Bulldogs,Homewood,AL,Private,FCS,Southern Conference
San Diego State University,San Diego State,Aztecs,San Diego,CA,Public,FBS,Mountain West Conference
San Jose State University,San Jose State,Spartans,San Jose,CA,Public,FBS,Mountain West Conference
Santa Clara University,Santa Clara,Broncos,Santa Clara,CA,Private,Non-football,West Coast Conference
Seattle University,Seattle,Redhawks,Seattle,WA,Private,Non-football,Western Athletic Conference
Seton Hall University,Seton Hall,Pirates,South Orange,NJ,Private,Non-football,Big East Conference
Siena College,Siena,Saints,Loudonville,NY,Private,Non-football,Metro Atlantic Athletic Conference
South Carolina State University,South Carolina State,Bulldogs,Orangeburg,SC,Public,FCS,Mid-Eastern Athletic Conference
South Dakota State University,South Dakota State,Jackrabbits,Brookings,SD,Public,FCS,Summit League
Southeast Missouri State University,SEMO,Redhawks,Cape Girardeau,MO,Public,FCS,Ohio Valley Conference
Southeastern Louisiana University,Southeastern Louisiana,Lions,Hammond,LA,Public,FCS,Southland Conference
Southern University and A&M College,Southern,Jaguars,Baton Rouge,LA,Public,FCS,Southwestern Athletic Conference
Southern Illinois University Carbondale,Southern Illinois,Salukis,Carbondale,IL,Public,FCS,Missouri Valley Conference
Southern Illinois University Edwardsville,SIUE,Cougars,Edwardsville,IL,Public,Non-football,Ohio Valley Conference
Southern Methodist University,SMU,Mustangs,Dallas,TX,Private,FBS,American Athletic Conference
Southern Utah University,Southern Utah,Thunderbirds,Cedar City,UT,Public,FCS,Western Athletic Conference
State University of Iowa,Iowa,Hawkeyes,Iowa City,IA,Public,FBS,Big Ten Conference
State University of New York at Albany,Albany,Great Danes,Albany,NY,Public,FCS,America East Conference
State University of New York at Binghamton,Binghamton,Bearcats,Binghamton,NY,Public,Non-football,America East Conference
State University of New York at Buffalo,Buffalo,Bulls,Buffalo,NY,Public,FBS,Mid-American Conference
State University of New York at Stony Brook,Stony Brook,Seawolves,Stony Brook,NY,Public,FCS,Coastal Athletic Association
Stephen F. Austin State University,Stephen F. Austin,Lumberjacks,Nacogdoches,TX,Public,FCS,Western Athletic Conference
Stetson University,Stetson,Hatters,DeLand,FL,Private,FCS,ASUN Conference
Syracuse University,Syracuse,Orange,Syracuse,NY,Private,FBS,Atlantic Coast Conference
Temple University,Temple,Owls,Philadelphia,PA,Public,FBS,American Athletic Conference
Tennessee State University,Tennessee State,Tigers,Nashville,TN,Public,FCS,Ohio Valley Conference
Tennessee Technological University,Tennessee Tech,Golden Eagles,Cookeville,TN,Public,FCS,Ohio Valley Conference
Texas A&M University,Texas A&M,Aggies,College Station,TX,Public,FBS,Southeastern Conference
Texas A&M University–Corpus Christi,Texas A&M–Corpus Christi,Islanders,Corpus Christi,TX,Public,Non-football,Southland Conference
Texas Christian University,TCU,Horned Frogs,Fort Worth,TX,Private,FBS,Big 12 Conference
Texas Southern University,Texas Southern,Tigers,Houston,TX,Public,FCS,Southwestern Athletic Conference
Texas State University,Texas State,Bobcats,San Marcos,TX,Public,FBS,Sun Belt Conference
Texas Tech University,Texas Tech,Red Raiders,Lubbock,TX,Public,FBS,Big 12 Conference
"The Citadel, The Military College of South Carolina",The Citadel,Bulldogs,Charleston,SC,Public,FCS,Southern Conference
The College of William and Mary in Virginia,William & Mary,Tribe,Williamsburg,VA,Public,FCS,Coastal Athletic Association
The George Washington University,George Washington,Revolutionaries,Washington,DC,Private,Non-football,Atlantic 10 Conference
The Ohio State University,Ohio State,Buckeyes,Columbus,OH,Public,FBS,Big Ten Conference
The Ohio University,Ohio,Bobcats,Athens,OH,Public,FBS,Mid-American Conference
The Pennsylvania State University,Penn State,Nittany Lions,University Park,PA,Public,FBS,Big Ten Conference
The University of Akron,Akron,Zips,Akron,OH,Public,FBS,Mid-American Conference
The University of Alabama,Alabama,Crimson Tide,Tuscaloosa,AL,Public,FBS,Southeastern Conference
The University of Mississippi,Ole Miss,Rebels,University,MS,Public,FBS,Southeastern Conference
The University of New Mexico,New Mexico,Lobos,Albuquerque,NM,Public,FBS,Mountain West Conference
The University of Tennessee at Chattanooga,Chattanooga,Mocs,Chattanooga,TN,Public,FCS,Southern Conference
The University of Tennessee at Martin,UT Martin,Skyhawks,Martin,TN,Public,FCS,Ohio Valley Conference
"The University of Tennessee, Knoxville",Tennessee,Volunteers,Knoxville,TN,Public,FBS,Southeastern Conference
The University of Texas at Arlington,UT Arlington,Mavericks,Arlington,TX,Public,Non-football,Western Athletic Conference
The University of Texas at Austin,Texas,Longhorns,Austin,TX,Public,FBS,Big 12 Conference
The University of Texas at El Paso,UTEP,Miners,El Paso,TX,Public,FBS,Conference USA
The University of Texas at San Antonio,UTSA,Roadrunners,San Antonio,TX,Public,FBS,American Athletic Conference
The University of Texas Rio Grande Valley,UTRGV,Vaqueros,Edinburg,TX,Public,Non-football,Western Athletic Conference
The University of Tulsa,Tulsa,Golden Hurricane,Tulsa,OK,Private,FBS,American Athletic Conference
The University of Vermont and State Agricultural College,Vermont,Catamounts,Burlington,VT,Public,Non-football,America East Conference
Towson University,Towson,Tigers,Towson,MD,Public,FCS,Coastal Athletic Association
Troy University,Troy,Trojans,Troy,AL,Public,FBS,Sun Belt Conference
Tulane University of Louisiana,Tulane,Green Wave,New Orleans,LA,Private,FBS,American Athletic Conference
United States Air Force Academy,Air Force,Falcons,USAF Academy,CO,Federal,FBS,Mountain West Conference
United States Military Academy,Army,Black Knights,West Point,NY,Federal,FBS,Patriot League
United States Naval Academy,Navy,Midshipmen,Annapolis,MD,Federal,FBS,Patriot League
University of Alabama at Birmingham,UAB,Blazers,Birmingham,AL,Public,FBS,American Athletic Conference
University of Arizona,Arizona,Wildcats,Tucson,AZ,Public,FBS,Pac-12 Conference
University of Arkansas,Arkansas,Razorbacks,Fayetteville,AR,Public,FBS,Southeastern Conference
University of Arkansas at Little Rock,Little Rock,Trojans,Little Rock,AR,Public,Non-football,Ohio Valley Conference
University of Arkansas at Pine Bluff,Arkansas–Pine Bluff,Golden Lions,Pine Bluff,AR,Public,FCS,Southwestern Athletic Conference
"University of California, Berkeley",California,Golden Bears,Berkeley,CA,Public,FBS,Pac-12 Conference
"University of California, Davis",UC Davis,Aggies,Davis,CA,Public,FCS,Big West Conference
"University of California, Irvine",UC Irvine,Anteaters,Irvine,CA,Public,Non-football,Big West Conference
"University of California, Los Angeles",UCLA,Bruins,Los Angeles,CA,Public,FBS,Pac-12 Conference
"University of California, Riverside",UC Riverside,Highlanders,Riverside,CA,Public,Non-football,Big West Conference
"University of California, Santa Barbara",UC Santa Barbara,Gauchos,Santa Barbara,CA,Public,Non-football,Big West Conference
University of Central Arkansas,Central Arkansas,Bears,Conway,AR,Public,FCS,ASUN Conference
University of Central Florida,UCF,Knights,Orlando,FL,Public,FBS,Big 12 Conference
University of Cincinnati,Cincinnati,Bearcats,Cincinnati,OH,Public,FBS,Big 12 Conference
University of Colorado Boulder,Colorado,Buffaloes,Boulder,CO,Public,FBS,Pac-12 Conference
University of Connecticut,UConn,Huskies,Storrs,CT,Public,FBS,Big East Conference
University of Dayton,Dayton,Flyers,Dayton,OH,Private,FCS,Atlantic 10 Conference
University of Delaware,Delaware,Fightin' Blue Hens,Newark,DE,Public,FCS,Coastal Athletic Association
University of Denver,Denver,Pioneers,Denver,CO,Private,Non-football,Summit League
University of Detroit Mercy,Detroit Mercy,Titans,Detroit,MI,Private,Non-football,Horizon League
University of Evansville,Evansville,Purple Aces,Evansville,IN,Private,Non-football,Missouri Valley Conference
University of Florida,Florida,Gators,Gainesville,FL,Public,FBS,Southeastern Conference
University of Georgia,Georgia,Bulldogs,Athens,GA,Public,FBS,Southeastern Conference
University of Hawaiʻi at Mānoa,Hawaiʻi,Rainbow Warriors,Honolulu,HI,Public,FBS,Big West Conference
University of Houston,Houston,Cougars,Houston,TX,Public,FBS,Big 12 Conference
University of Idaho,Idaho,Vandals,Moscow,ID,Public,FCS,Big Sky Conference
University of Illinois Chicago,UIC,Flames,Chicago,IL,Public,Non-football,Missouri Valley Conference
University of Illinois Urbana-Champaign,Illinois,Fighting Illini,Urbana,IL,Public,FBS,Big Ten Conference
University of Kansas,Kansas,Jayhawks,Lawrence,KS,Public,FBS,Big 12 Conference
University of Kentucky,Kentucky,Wildcats,Lexington,KY,Public,FBS,Southeastern Conference
University of Louisiana at Lafayette,Louisiana,Ragin' Cajuns,Lafayette,LA,Public,FBS,Sun Belt Conference
University of Louisiana at Monroe,ULM,Warhawks,Monroe,LA,Public,FBS,Sun Belt Conference
University of Louisville,Louisville,Cardinals,Louisville,KY,Public,FBS,Atlantic Coast Conference
University of Maine,Maine,Black Bears,Orono,ME,Public,FCS,America East Conference
"University of Maryland, Baltimore County",UMBC,Retrievers,Catonsville,MD,Public,Non-football,America East Conference
"University of Maryland, College Park",Maryland,Terrapins,College Park,MD,Public,FBS,Big Ten Conference
University of Maryland Eastern Shore,Maryland Eastern Shore,Hawks,Princess Anne,MD,Public,Non-football,Mid-Eastern Athletic Conference
University of Massachusetts Amherst,UMass,Minutemen,Amherst,MA,Public,FBS,Atlantic 10 Conference
University of Massachusetts Lowell,UMass Lowell,River Hawks,Lowell,MA,Public,Non-football,America East Conference
University of Memphis,Memphis,Tigers,Memphis,TN,Public,FBS,American Athletic Conference
University of Miami,Miami (Florida),Hurricanes,Coral Gables,FL,Private,FBS,Atlantic Coast Conference
University of Michigan,Michigan,Wolverines,Ann Arbor,MI,Public,FBS,Big Ten Conference
University of Minnesota,Minnesota,Golden Gophers,Minneapolis,MN,Public,FBS,Big Ten Conference
University of Missouri–Columbia,Missouri,Tigers,Columbia,MO,Public,FBS,Southeastern Conference
University of Missouri–Kansas City,Kansas City,Roos,Kansas City,MO,Public,Non-football,Summit League
University of Montana,Montana,Grizzlies,Missoula,MT,Public,FCS,Big Sky Conference
University of Nebraska–Lincoln,Nebraska,Cornhuskers,Lincoln,NE,Public,FBS,Big Ten Conference
University of Nebraska Omaha,Omaha,Mavericks,Omaha,NE,Public,Non-football,Summit League
"University of Nevada, Las Vegas",UNLV,Rebels,Paradise,NV,Public,FBS,Mountain West Conference
"University of Nevada, Reno",Nevada,Wolf Pack,Reno,NV,Public,FBS,Mountain West Conference
University of New Hampshire,New Hampshire,Wildcats,Durham,NH,Public,FCS,America East Conference
University of New Orleans,New Orleans,Privateers,New Orleans,LA,Public,Non-football,Southland Conference
University of North Alabama,North Alabama,Lions,Florence,AL,Public,FCS,ASUN Conference
University of North Carolina at Asheville,UNC Asheville,Bulldogs,Asheville,NC,Public,Non-football,Big South Conference
University of North Carolina at Chapel Hill,North Carolina,Tar Heels,Chapel Hill,NC,Public,FBS,Atlantic Coast Conference
University of North Carolina at Charlotte,Charlotte,49ers,Charlotte,NC,Public,FBS,American Athletic Conference
University of North Carolina at Greensboro,UNC Greensboro,Spartans,Greensboro,NC,Public,Non-football,Southern Conference
University of North Carolina at Wilmington,UNC Wilmington,Seahawks,Wilmington,NC,Public,Non-football,Coastal Athletic Association
University of North Dakota,North Dakota,Fighting Hawks,Grand Forks,ND,Public,FCS,Summit League
University of Northern Colorado,Northern Colorado,Bears,Greeley,CO,Public,FCS,Big Sky Conference
University of Northern Iowa,Northern Iowa,Panthers,Cedar Falls,IA,Public,FCS,Missouri Valley Conference
University of North Florida,North Florida,Ospreys,Jacksonville,FL,Public,Non-football,ASUN Conference
University of North Texas,North Texas,Mean Green,Denton,TX,Public,FBS,American Athletic Conference
